Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,Daily Total
2019-09-11,4572.47472703839,11190.713216674647,4994.202484652809,0.0,22146.081971059706,53508.46649009879,0.0,0.0,0.0,0.0,10789.525174000442,107201.46
2019-09-12,4607.126619561588,11216.910750541228,4964.728502776169,0.0,22174.154073951147,53798.021591016804,0.0,0.0,0.0,0.0,10841.246167278476,107602.19
2019-09-13,4658.316915334494,11199.445727963506,5001.570980121969,0.0,22286.442485516924,53416.33532162488,0.0,0.0,0.0,0.0,10818.453865155952,107380.57
2019-09-16,4581.92524318108,11153.600043696992,5172.27445849084,0.0,22252.75596204719,53284.719366662146,0.0,0.0,0.0,0.0,10681.700052420816,107126.98
2019-09-17,4617.36467871617,11166.698810630282,5093.267812627069,0.0,22247.141541468904,53468.98170360997,0.0,0.0,0.0,0.0,10746.570450769535,107340.02
2019-09-18,4620.514850763733,11155.783171519206,5071.981047938386,0.0,22210.647807710026,53495.30489460252,0.0,0.0,0.0,0.0,10742.187315745974,107296.42
2019-09-19,4626.815194858859,11160.149427163635,5052.331726687293,0.0,22101.1666064334,53600.597658572704,0.0,0.0,0.0,0.0,10711.505370581037,107252.57
2019-09-20,4595.313474383225,11061.908675163957,5013.033084185106,0.0,21837.28883925383,52824.06352429258,0.0,0.0,0.0,0.0,10552.83588272809,105884.44
2019-09-23,4585.075415228644,11022.612374364084,5019.582857935471,0.0,21803.602315784097,52988.583467995995,0.0,0.0,0.0,0.0,10591.407470935435,106010.86
2019-09-24,4543.335635598427,10858.877787697951,4938.529407774712,0.0,21674.470642483455,52475.28124364134,0.0,0.0,0.0,0.0,10477.445960322822,104967.94
2019-09-25,4567.749468967045,10983.316073564212,4947.535346681463,0.0,21820.445577518964,53087.295434218046,0.0,0.0,0.0,0.0,10573.874930841188,105980.22
2019-09-26,4559.086495836245,10877.43437418678,4882.856330896615,0.0,21845.71047012126,53139.94181620314,0.0,0.0,0.0,0.0,10526.537072586718,105831.57
2019-09-27,4546.4858076459905,10762.820163520486,4882.03760917782,0.0,21758.68695115779,52442.37725490066,0.0,0.0,0.0,0.0,10489.718738388796,104882.13
2019-09-30,4581.137700169189,10810.848975609219,4845.19513183202,0.0,21797.98789520581,52988.583467995995,0.0,0.0,0.0,0.0,10580.011319874175,105603.76
2019-10-01,4476.394479587704,10699.509456676247,4733.848978075826,0.0,21278.653991714105,52527.92762562643,0.0,0.0,0.0,0.0,10491.471992398221,104207.81
2019-10-02,4393.702463339162,10537.95799783233,4615.134328850472,0.0,20868.80128949903,51501.323176917125,0.0,0.0,0.0,0.0,10302.997186385051,102219.92
2019-10-03,4411.815952612653,10644.93126112087,4672.444849166161,0.0,21009.16180395625,52146.24135623451,0.0,0.0,0.0,0.0,10353.841552658372,103238.44
2019-10-04,4433.867156945596,10784.651441742637,4697.006500730026,0.0,21230.93141679865,53021.48745673668,0.0,0.0,0.0,0.0,10451.14715018145,104619.09
2019-10-07,4419.691382731561,10782.468313920423,4654.432971352659,0.0,21118.64300523288,52771.41714230749,0.0,0.0,0.0,0.0,10408.192426950542,104154.85
2019-10-08,4342.512167566256,10612.184343787643,4572.560799473104,0.0,20790.19940140299,51823.782266575814,0.0,0.0,0.0,0.0,10295.984170347352,102437.22
2019-10-09,4389.764748279708,10677.678178454096,4619.227937444451,0.0,20965.65004447451,52580.57400761153,0.0,0.0,0.0,0.0,10385.400124828018,103618.3
2019-10-10,4431.504527909924,10732.256374009474,4679.81334463532,0.0,21157.9439492809,52935.937086010905,0.0,0.0,0.0,0.0,10452.023777186163,104389.48
2019-10-11,4515.7716301822475,10867.610298986812,4745.311082138964,0.0,21562.182230917682,53672.98643380221,0.0,0.0,0.0,0.0,10569.491795817625,105933.35
2019-10-14,4483.482366694721,10843.595892942445,4738.7613083886,0.0,21517.266866291375,53653.244040557795,0.0,0.0,0.0,0.0,10565.108660794063,105801.46
2019-10-15,4513.409001146575,11024.7955021863,4756.773186202102,0.0,21685.699483640034,54232.35424239381,0.0,0.0,0.0,0.0,10658.907750298293,106871.94
2019-10-16,4526.009689336828,11046.626780408451,4692.094170417254,0.0,21680.085063061746,53870.4103662463,0.0,0.0,0.0,0.0,10702.739100533914,106517.97
2019-10-17,4535.460205479519,11107.754359430473,4693.731613854845,0.0,21781.144633470944,53751.95600677985,0.0,0.0,0.0,0.0,10731.667791689424,106601.71
2019-10-18,4529.159861384392,10981.132945741996,4669.169962290978,0.0,21593.061544098273,53238.653782425194,0.0,0.0,0.0,0.0,10709.752116571613,105720.93
2019-10-21,4514.984087170356,11048.809908230665,4753.49829932692,0.0,21725.000427688054,53811.18318651307,0.0,0.0,0.0,0.0,10750.953585793097,106604.43
2019-10-22,4496.8705978968665,10939.65351711991,4818.996036830563,0.0,21901.85467590415,53080.71463646991,0.0,0.0,0.0,0.0,10679.070171406678,105917.16
2019-10-23,4526.009689336828,11029.16175783073,4854.201070738771,0.0,21899.047465615007,53139.94181620314,0.0,0.0,0.0,0.0,10629.979059142783,106078.34
2019-10-24,4539.397920538973,10900.357216320037,4834.551749487678,0.0,21924.312358217303,53916.47595048326,0.0,0.0,0.0,0.0,10624.719297114509,106739.81
2019-10-25,4587.438044264316,10981.132945741996,4873.850391989864,0.0,22064.67287267452,54561.39412980065,0.0,0.0,0.0,0.0,10612.446519048535,107680.93
2019-10-28,4600.826275466461,11088.106209030537,4845.19513183202,0.0,22123.624288746552,55258.95869110313,0.0,0.0,0.0,0.0,10645.758345227607,108562.47
2019-10-29,4631.540452930205,10985.499201386427,4866.072535661307,0.0,22199.418966553447,54758.81806224474,0.0,0.0,0.0,0.0,10586.147708907163,108027.5
2019-10-30,4633.903081965877,11018.246118719653,4764.960403390057,0.0,22286.442485516924,55094.43874739971,0.0,0.0,0.0,0.0,10646.63497223232,108444.63
2019-10-31,4581.137700169189,11044.443652586237,4742.854916982577,0.0,22033.79355949393,55054.95396091089,0.0,0.0,0.0,0.0,10594.913978954286,108052.1
2019-11-01,4646.503770156131,11120.853126363763,4858.294679332749,0.0,22511.01930864847,55706.45293797642,0.0,0.0,0.0,0.0,10661.53763131243,109504.66
2019-11-04,4682.730748703111,11184.163833208002,5013.8518059039025,0.0,22783.31870669547,56009.1696343907,0.0,0.0,0.0,0.0,10669.42727435484,110342.66
2019-11-05,4693.756350869584,11186.346961030218,5030.226240279812,0.0,22831.041281610924,55933.49046028713,0.0,0.0,0.0,0.0,10686.95981444909,110361.82
2019-11-06,4689.031092798238,11145.959096319237,4915.605199648437,0.0,22839.462912478357,55923.61926366493,0.0,0.0,0.0,0.0,10697.47933850564,110211.16
2019-11-07,4720.532813273873,11216.910750541228,4990.108876058832,0.0,22915.257590285255,56357.951915041944,0.0,0.0,0.0,0.0,10633.485567161633,110834.25
2019-11-08,4738.646302547363,11243.10828440781,4968.822111370147,0.0,22946.136903465842,56667.24940920436,0.0,0.0,0.0,0.0,10636.992075180482,111200.96
