Sum of Current % of Portfolio,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,,2001 Total,2002,,,,2002 Total,2003,,,,2003 Total,2004,,,,2004 Total,2005,,,,2005 Total,2006,,,,2006 Total,2007,,,,2007 Total,2008,,,,2008 Total,2009,,,,2009 Total,2010,,,,2010 Total,2011,,,,2011 Total,2012,,,,2012 Total,2013,,,,2013 Total,2014,,,,2014 Total,2015,,,,2015 Total,2016,,,,2016 Total,2017,,,,2017 Total,2018,,,,2018 Total,2019,,,,2019 Total,2020,,2020 Total,Grand Total,,
Row Labels,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,Qtr3,Qtr4,,Qtr1,Qtr2,,,ETF,% of Portfolio
Qtr1,5.5231,3.4773,43.5279,,43.1115,,2.5412,,1.2704,,,0.5485,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,5.7885,4.8921,41.5455,,42.1752,,2.4165,1.7111,1.3049,,,,,99.8338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,5.6963,4.9522,46.0285,,38.1666,,2.1217,1.6766,1.1416,,,,0.0832,99.8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,5.5975,5.6426,44.3632,,39.3557,,2.2442,1.3093,1.1057,,,,0.3818,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,5.4681,5.1763,44.2882,,40.1715,,2.4241,1.3339,0.7209,,,,,99.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,4.7015,4.8523,47.1022,,39.0144,,2.3803,0.9466,1.0026,,,,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,5.7693,4.7905,45.639,0.007,40.4428,,2.4897,0.0496,0.8122,,,,,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,6.2341,4.8972,41.8464,0.0154,40.9932,,3.5228,1.4688,1.0221,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,6.1783,5.0273,41.0535,0.0548,40.8024,,3.7573,1.8218,1.0486,,,,0.256,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,6.25,5.0662,40.0735,0.0636,41.7953,1.7015,2.6408,1.6809,0.6377,,,,0.0905,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,5.5013,5.0923,38.1021,0.0712,45.1605,2.1259,2.4383,1.2205,0.2065,,,,0.0814,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,5.7908,5.1497,39.8249,0.1079,43.7934,1.9088,2.1447,1.1048,0.1747,,,,,99.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,6.1154,4.9432,39.0901,0.094,44.8702,1.7539,2.0363,0.941,0.1559,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
